action_count_0,action_count_1,avg_sinr_db,avg_tos_s,dense_reward,episode,epsilon,eval_best_safety_score_so_far,eval_safety_score,eval_unsafe_extra_ho_mean,eval_unsafe_extra_rb_per_s_ue_mean,eval_unsafe_outage_time_saved_s_mean,eval_unsafe_reward_gain_mean,eval_unsafe_rlf_delta_mean,eval_unsafe_sinr_gain_db_mean,eval_unsafe_uho_delta_mean,eval_unsafe_uho_per_ho_delta_mean,ho_count,kpi_score,loss,mean_train_reward,method,outage_fraction,outage_time_s,rb_count,rb_per_s_ue,reward,rl_base_step_reward,rl_training_reward,rlf_count,scenario_idx,scenario_random_mix,scenario_seed,short_tos_count,train_standard_baseline_reward,train_standard_extra_ho,train_standard_extra_rb_per_s_ue,train_standard_outage_time_saved_s,train_standard_reward_gain,train_standard_rlf_delta,train_standard_safety_score,train_standard_sinr_gain_db,train_standard_uho_delta,train_unsafe_baseline_reward,train_unsafe_extra_ho,train_unsafe_extra_rb_per_s_ue,train_unsafe_outage_time_saved_s,train_unsafe_reward_gain,train_unsafe_rlf_delta,train_unsafe_safety_score,train_unsafe_sinr_gain_db,train_unsafe_uho_delta,uho_count,uho_per_ho
,,,,,0,,20.818220745657516,20.818220745657516,-2.171875,-1.74609375,0.053125000000000006,6.18594594059997,-0.0625,-0.8166750974712269,-2.46875,-0.3895089285714286,,,,,eval_checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,12,0.5192318136401448,0.8769230769230763,660.976417830492,0,0.25,,,,,,,,,,,13,-164.05507700537154,0.4518056809902191,0.3672091210169396,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,106,5.888888888888889,-164.05507700537154,20.0,660.976417830492,13,0,0,10009,12,34.45122284706106,8.0,2.9444444444444446,-1.3999999999999997,-198.50629985243262,12.0,-2394.941598655635,-2.5093160682678874,11.0,47.79570736679933,8.0,2.9444444444444446,-1.3999999999999997,-211.85078437217086,13.0,-2579.289115335582,-3.010832148372309,11.0,12,0.9230769230769231
78,12,1.6935094410051246,1.6333333333333329,1155.12870015654,1,0.24961666666666665,,,,,,,,,,,6,-45.20634062691777,0.2428988367319107,0.6417381667536332,Simple-DQN-HO,0.1111111111111111,2.0,54,3.0,-45.20634062691777,20.0,1155.12870015654,6,0,0,10009,4,34.45122284706106,1.0,0.05555555555555536,-1.2,-79.65756347397883,5.0,-1016.910973689118,-1.335038440902908,3.0,47.79570736679933,1.0,0.05555555555555536,-1.2,-93.0020479937171,6.0,-1201.258490369065,-1.8365545210073289,3.0,4,0.6666666666666666
75,15,0.5764769350892779,1.0133333333333319,692.3825272926858,2,0.24923333333333333,,,,,,,,,,,15,-166.3153206374007,0.12744569778442383,0.3846569596070475,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,124,6.888888888888889,-166.3153206374007,20.0,692.3825272926858,14,0,0,10009,13,34.45122284706106,10.0,3.9444444444444446,-1.3999999999999997,-200.76654348446175,13.0,-2575.587352044766,-2.4520709468187545,12.0,47.79570736679933,10.0,3.9444444444444446,-1.3999999999999997,-214.11102800420002,14.0,-2759.934868724713,-2.9535870269231754,12.0,13,0.8666666666666667
79,11,0.7709111309150148,1.6799999999999973,1033.7332709026339,3,0.24885,,,,,,,,,,,10,-84.2172114272213,0.24440506100654602,0.5742962616125743,Simple-DQN-HO,0.13333333333333333,2.4,83,4.611111111111111,-84.2172114272213,20.0,1033.7332709026339,8,0,0,10009,6,34.45122284706106,5.0,1.666666666666666,-1.5999999999999999,-118.66843427428236,7.0,-1436.1837077762684,-2.2576367509930177,5.0,47.79570736679933,5.0,1.666666666666666,-1.5999999999999999,-132.01291879402064,8.0,-1620.5312244562156,-2.7591528310974387,5.0,6,0.6
75,15,1.0186012899255128,1.5999999999999979,1060.5661065504974,4,0.24846666666666667,,,,,,,,,,,9,-81.10396704961079,0.19655226171016693,0.5892033925280535,Simple-DQN-HO,0.13333333333333333,2.4,79,4.388888888888889,-81.10396704961079,20.0,1060.5661065504974,8,0,0,10009,7,34.45122284706106,4.0,1.4444444444444446,-1.5999999999999999,-115.55518989667185,7.0,-1437.7417497473036,-2.0099465919825197,6.0,47.79570736679933,4.0,1.4444444444444446,-1.5999999999999999,-128.8996744164101,8.0,-1622.0892664272508,-2.5114626720869406,6.0,7,0.7777777777777778
83,7,1.3619605538224595,1.5714285714285705,1343.271158912677,5,0.24808333333333332,,,,,,,,,,,7,-38.51783376923361,0.19506600499153137,0.7462617549514872,Simple-DQN-HO,0.1111111111111111,2.0,58,3.2222222222222223,-38.51783376923361,20.0,1343.271158912677,5,0,0,10009,4,34.45122284706106,2.0,0.2777777777777777,-1.2,-72.96905661629467,4.0,-841.7188979391325,-1.666587328085573,3.0,47.79570736679933,2.0,0.2777777777777777,-1.2,-86.31354113603294,5.0,-1026.0664146190795,-2.168103408189994,3.0,4,0.5714285714285714
77,13,0.5702158813388958,1.8999999999999972,1236.6408113935352,6,0.2477,,,,,,,,,,,8,-38.14297282746366,0.10149061679840088,0.6870226729964083,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,72,4.0,-38.14297282746366,20.0,1236.6408113935352,5,0,0,10009,5,34.45122284706106,3.0,1.0555555555555554,-1.3999999999999997,-72.59419567452471,4.0,-861.5941930089964,-2.4583320005691367,4.0,47.79570736679933,3.0,1.0555555555555554,-1.3999999999999997,-85.93868019426299,5.0,-1045.9417096889433,-2.9598480806735576,4.0,5,0.625
71,19,0.8938865527220702,1.1714285714285695,810.8026306022008,7,0.24731666666666666,,,,,,,,,,,14,-157.24123981022416,0.147552028298378,0.45044590589011135,Simple-DQN-HO,0.1111111111111111,2.0,119,6.611111111111111,-157.24123981022416,20.0,810.8026306022008,12,0,0,10009,10,34.45122284706106,9.0,3.666666666666666,-1.2,-191.6924626572852,11.0,-2195.9617853156574,-2.1346613291859624,9.0,47.79570736679933,9.0,3.666666666666666,-1.2,-205.03694717702348,12.0,-2380.3093019956045,-2.6361774092903834,9.0,10,0.7142857142857143
79,11,1.1824311269380336,1.2666666666666657,1125.7933779238824,8,0.24693333333333334,,,,,,,,,,,9,-65.27639631540046,0.1306469440460205,0.6254407655132674,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,74,4.111111111111111,-65.27639631540046,20.0,1125.7933779238824,7,0,0,10009,6,34.45122284706106,4.0,1.166666666666666,-1.3999999999999997,-99.72761916246152,6.0,-1234.1698526724015,-1.8461167549699988,5.0,47.79570736679933,4.0,1.166666666666666,-1.3999999999999997,-113.07210368219978,7.0,-1418.5173693523484,-2.3476328350744198,5.0,6,0.6666666666666666
